Dia;S;I;R;N
0;999.0;1.0;0.0;1000.0
1;995.5195823285038;3.07080403450074;1.4096136369955556;1000.0000000000001
2;984.9337981649347;9.368854138257825;5.69734769680754;1000.0000000000001
3;953.561113370726;28.030897584300575;18.40798904497358;1000.0000000000001
4;867.3556817772275;79.28281916371434;53.36149905905839;1000.0000000000001
5;673.3691513871406;194.42590576905772;132.20494284380183;1000.0000000000002
6;386.9754770030919;363.5702880441299;249.45423495277828;1000.0
7;157.39925644061387;497.0162418528842;345.58450170650195;1000.0
8;51.5138543101221;555.2637454454621;393.22240024441584;1000.0
9;15.547909527248114;571.1985657776108;413.2535246951412;1000.0000000000001
10;4.611412598214614;572.0382812486971;423.3503061530887;1000.0000000000005
11;1.372930780521763;568.2760416036084;430.3510276158702;1000.0000000000003
12;0.41292007628195926;563.1916472638037;436.3954326599148;1000.0000000000005
13;0.12567645348756068;557.7564136641045;442.1179098824084;1000.0000000000005
14;0.038725419145990356;552.2557684735023;447.70550610735216;1000.0000000000005
15;0.012081054644899957;546.7738959177245;453.2140230276309;1000.0000000000003
16;0.003815415872250759;541.3356287746547;458.6605558094732;1000.0000000000001
17;0.00121970386447626;535.9481167394412;464.0506635566943;999.9999999999999
18;3.9462594629856247E-4;530.6131814073068;469.38642396674686;1000.0
19;1.292046407081518E-4;525.3310220177035;474.66884877765574;1000.0
20;4.280304022086399E-5;520.101340325724;479.89861687123573;999.9999999999999
21;1.4345592888647129E-5;514.923686162369;485.07629949203823;1000.0000000000002
22;4.863554294779318E-6;509.79756484246695;490.20243029397864;999.9999999999999
23;1.6677274974392768E-6;504.7224709229011;495.27752740937126;999.9999999999998
24;5.783327781361374E-7;499.6978989141712;500.3021005074959;999.9999999999999
25;2.027953205505833E-7;494.7233466956624;505.2766531015423;1000.0
26;7.189722332655545E-8;489.7983165943929;510.20168333371004;1000.0000000000001
27;2.576841362251221E-8;484.9223157071619;515.0776842670697;1000.0
28;9.33539225526941E-9;480.09485597513816;519.9051440155263;999.9999999999998
29;3.4181833790164223E-9;475.3154541767535;524.6845458198281;999.9999999999998
