Dia;S;I;R;N
0;999.0;1.0;0.0;1000.0
1;995.5195822470212;3.0708040829813275;1.4096136699977493;1000.0000000000002
2;984.9337976723057;9.368854431337148;5.697347896357287;1000.0000000000001
3;953.5611112214248;28.03089886264578;18.40798991592941;1000.0
4;867.3556743216964;79.28282359441809;53.36150208388557;1000.0
5;673.369133181844;194.4259165598775;132.20495025827876;1000.0000000000002
6;386.97545253640794;363.5703024207933;249.45424504279904;1000.0000000000003
7;157.3992399384704;497.0162512605778;345.58450880095205;1000.0000000000002
8;51.513847246593464;555.2637490456036;393.22240370780315;1000.0000000000002
9;15.547907026528621;571.1985665348451;413.2535264386265;1000.0000000000002
10;4.6114117658398275;572.038280917858;423.35030731630263;1000.0000000000005
11;1.3729305080518546;568.276040857294;430.3510286346546;1000.0000000000005
12;0.41291998726193735;563.1916463314745;436.3954336812638;1000.0000000000002
13;0.125676424306678;557.756412622163;442.1179109535306;1000.0000000000002
14;0.03872540952756204;552.2557673478877;447.705507242585;1000.0000000000003
15;0.012081051453341755;546.7738947179241;453.2140242306228;1000.0000000000002
16;0.003815414805389556;541.335627504785;458.6605570804099;1000.0000000000002
17;0.0012197035050243628;535.9481154018488;464.05066489464645;1000.0000000000002
18;3.9462582418432003E-4;530.6131800037422;469.38642537043404;1000.0000000000003
19;1.2920459886634747E-4;525.3310205497047;474.66885024569666;1000.0000000000002
20;4.2803025757490484E-5;520.1013387947443;479.8986184022303;1000.0000000000002
21;1.4345587844152537E-5;514.9236845698182;485.0763010845943;1000.0000000000003
22;4.863552519322318E-6;509.79756318972665;490.2024319467213;1000.0000000000005
23;1.6677268667898713E-6;504.72246921132864;495.277529120945;1000.0000000000005
24;5.783325520468057E-7;499.6978971451021;500.30210227656585;1000.0000000000005
25;2.027952387407613E-7;494.7233448704111;505.2766549267941;1000.0000000000005
26;7.189719344694025E-8;489.7983147142534;510.2016852138499;1000.0000000000005
27;2.576840260730199E-8;484.922313773408;515.077686200824;1000.0000000000005
28;9.335388156465245E-9;480.09485398902376;519.9051460016414;1000.0000000000005
29;3.418181839580271E-9;475.3154521395126;524.6845478570698;1000.0000000000006
